,index_content,word,nature,content_type,index_word
3470,257,老鼠屎,n,pos,4
3496,260,地图,n,pos,2
3497,260,炮,n,pos,3
3498,260,二极管,n,pos,4
3501,260,区别,n,pos,5
3505,262,野鸡大学,nz,pos,1
3506,263,三观,nz,pos,1
3529,264,福报,nz,pos,8
3531,265,张薇,nr,pos,1
3536,266,通告,n,pos,2
3538,266,自罚,vn,pos,3
3540,267,领导,n,pos,1
3543,267,网友,n,pos,2
3546,267,学生,n,pos,4
3548,268,实力,n,pos,1
3559,268,热度,n,pos,7
3560,268,公司,n,pos,8
3563,268,态度,n,pos,9
3585,272,学校,n,pos,1
3586,272,学风,n,pos,2
3588,272,屎,n,pos,4
3597,272,用人,n,pos,7
3598,272,企业,n,pos,8
3601,272,学风,n,pos,9
3608,272,学生,n,pos,12
3611,272,网,n,pos,14
3617,272,社会,n,pos,16
3619,272,网民,n,pos,17
3620,272,网,n,pos,18
3624,273,腿,n,pos,2
3625,273,副校长,n,pos,3
3626,273,儿子,n,pos,4
3634,274,库克,nrt,pos,2
3635,274,晚宴,n,pos,3
3643,277,小企业,n,pos,1
3646,277,热度,n,pos,4
3649,277,企业,n,pos,5
3652,277,人事部,n,pos,6
3659,278,女生,n,pos,2
3663,278,男生,n,pos,4
3669,279,形象,n,pos,2
3672,279,小企业,n,pos,3
3673,280,矛盾,an,pos,1
3675,280,升级,vn,pos,2
3679,280,原因,n,pos,5
3682,281,学术,n,pos,1
3690,281,学校,n,pos,3
3697,281,卧龙,ns,pos,6
3698,281,凤雏,nr,pos,7
3699,282,传媒,n,pos,1
3703,282,直播,vn,pos,2
3704,282,公司,n,pos,3
3708,283,大厂,n,pos,3
3709,283,表态,n,pos,4
3715,284,能力,n,pos,1
3717,284,实力,n,pos,2
3718,284,证明,n,pos,3
3723,284,错误,n,pos,5
3726,284,网,n,pos,6
3730,284,骂人,n,pos,8
3743,286,阿里,nrt,pos,2
3748,286,作文,n,pos,4
3749,286,新闻,n,pos,5
3752,286,大学,n,pos,6
3754,286,学生,n,pos,7
3756,286,作文,n,pos,8
3761,287,招,n,pos,1
3766,287,公司员工,n,pos,3
3771,288,香槟,n,pos,3
3774,289,社团,n,pos,2
3776,289,社团,n,pos,3
3780,290,企业,n,pos,1
3784,290,浙大,ns,pos,3
3786,290,强奸犯,n,pos,4
3791,291,风险,n,pos,2
3794,292,学校,n,pos,1
3795,292,除教,nz,pos,2
3796,292,学生,n,pos,3
3797,292,网暴,n,pos,4
3803,292,特色,n,pos,6
3805,293,张薇,nr,pos,1
3808,293,明星,nr,pos,2
3815,294,麻烦,an,pos,2
3816,294,人物,n,pos,3
3821,295,事,n,pos,1
3833,296,小姐,nr,pos,2
3841,297,角度,n,pos,2
3845,297,毕业,n,pos,3
3846,297,男生,n,pos,4
3850,298,苍蝇,n,pos,1
3853,298,无缝,n,pos,3
3854,298,蛋,n,pos,4
3874,300,热度,n,pos,2
3876,301,网暴,n,pos,1
3885,302,事情,n,pos,2
3886,303,敌人,n,pos,1
3893,304,主打,n,pos,1
3895,304,龟,ns,pos,2
3897,304,校方,n,pos,3
3898,304,冷处理,nr,pos,4
3902,304,学生,n,pos,6
3911,304,公司,n,pos,8
3913,304,嘴脸,n,pos,9
3917,304,校友,n,pos,10
3920,305,四学,n,pos,1
3925,305,耙,n,pos,3
3926,305,耳朵,n,pos,4
3928,305,男,n,pos,5
3933,305,男,n,pos,7
3943,305,抗争,nz,pos,8
3946,305,学校,n,pos,9
3954,305,社会,n,pos,12
3957,305,飞舞,n,pos,14
3964,306,公司,n,pos,2
3969,306,网,n,pos,3
3972,307,哲学系,n,pos,1
3984,307,离谱,n,pos,6
3988,308,学生,n,pos,2
3995,309,起码,n,pos,5
3998,309,档案,n,pos,8
4002,309,办法,n,pos,9
4012,309,办法,n,pos,11
4014,310,公司,n,pos,2
4019,310,老板,n,pos,6
4026,310,公司,n,pos,7
4029,311,律师所,n,pos,1
4031,311,流量,n,pos,3
4038,312,党员,n,pos,3
4042,312,资本家,n,pos,5
4044,312,出面,n,pos,6
4047,312,魔幻,n,pos,8
4048,312,现实,n,pos,9
4052,314,头,n,pos,2
4061,315,公平,n,pos,1
4071,316,热度,n,pos,2
4093,318,小企业,n,pos,1
4098,318,热度,n,pos,5
4101,318,企业,n,pos,6
4114,318,曝光,nz,pos,11
4118,319,企业,n,pos,1
4124,319,热度,n,pos,4
4126,319,公司,n,pos,5
4130,319,学生,n,pos,7
4134,320,新生,n,pos,1
4142,320,影响,vn,pos,6
